DT_COMPTC;IBOV;Dol;NDX;SPX;Fluxo
15/03/2005;27587.7;2.764;1502.06;1197.75;-7.52
16/03/2005;27826.7;27.623;1486.23;1188.07;-39.879
17/03/2005;28085.8;27.208;1487.63;1190.21;22.137
18/03/2005;27593.3;27.145;1484.4;1189.65;6.461
21/03/2005;27411.3;2.725;1484.45;1183.79;12.068
22/03/2005;26618.1;27.406;1465.09;1171.71;5.194
23/03/2005;26248.3;27.489;1471.77;1172.53;16.379
24/03/2005;26701.9;27.395;1469.94;1171.42;7.13
28/03/2005;26257.3;27.255;1472.71;1174.28;6.082
29/03/2005;25842.1;2.7;1464.34;1165.36;-8.648
30/03/2005;26469.8;26.755;1491.74;1181.41;-13.964
31/03/2005;26610.7;2.679;1482.53;1180.59;58.532
01/04/2005;26773.8;26.588;1469.35;1172.92;41.059
04/04/2005;26406.8;2.641;1476.72;1176.12;44.497
05/04/2005;26038.4;26.297;1483.75;1181.39;7.215
06/04/2005;25695.1;26.015;1480.67;1184.07;13.041
07/04/2005;26307.8;25.931;1499.71;1191.14;55.19
08/04/2005;25884.6;2.585;1485.6;1181.2;-6.502
11/04/2005;25899.7;25.865;1478.55;1181.21;2.032
12/04/2005;26206.2;25.668;1489.16;1187.76;-5.192
13/04/2005;26066.1;2.561;1461.68;1173.79;-2.118
14/04/2005;24984.0;25.899;1441.13;1162.05;40.271
15/04/2005;24655.8;26.148;1408.59;1142.62;-5.868
18/04/2005;24877.0;2.607;1409.98;1145.98;-12.561
19/04/2005;25566.2;25.695;1420.8;1152.78;-18.967
20/04/2005;25062.4;25.636;1406.85;1137.5;-37.995
22/04/2005;24767.1;25.375;1421.21;1152.12;2.98
25/04/2005;25231.5;25.243;1437.31;1162.1;6.099
26/04/2005;25304.8;2.536;1420.43;1151.74;-23.916
27/04/2005;25241.7;25.146;1423.76;1156.38;-0.247
28/04/2005;24439.7;25.425;1409.29;1143.22;-3.846
29/04/2005;24843.7;2.528;1420.79;1156.85;-12.775
02/05/2005;24704.6;25.105;1423.71;1162.16;-10.254
03/05/2005;24715.6;24.887;1427.61;1161.17;-5.355
04/05/2005;25474.5;24.639;1452.2;1175.65;-3.862
05/05/2005;25435.8;24.625;1450.16;1172.63;-8.075
06/05/2005;25589.2;2.457;1456.0;1171.35;7.455
09/05/2005;25464.8;24.505;1463.38;1178.84;4.834
10/05/2005;24762.7;2.469;1450.36;1166.22;-5.577
11/05/2005;24698.7;2.453;1459.55;1171.11;7.562
12/05/2005;24117.3;24.713;1454.79;1159.36;0.144
13/05/2005;23887.4;24.735;1470.63;1154.05;-58.084
16/05/2005;24378.5;24.755;1480.68;1165.69;-19.049
17/05/2005;24412.8;24.808;1490.14;1173.8;-4.291
18/05/2005;24898.1;2.457;1509.26;1185.56;-9.316
19/05/2005;24829.0;24.408;1521.43;1191.08;3.523
20/05/2005;24522.4;24.417;1528.06;1189.28;211.979
23/05/2005;24214.9;24.259;1535.22;1193.86;-8.218
24/05/2005;24545.2;24.276;1540.47;1194.07;-6.734
25/05/2005;24478.4;24.088;1532.71;1190.01;-27.489
27/05/2005;25255.5;2.385;1549.8;1198.78;-9.891
30/05/2005;25424.2;23.678;1549.8;1198.78;-3.9
31/05/2005;25207.1;24.076;1542.63;1191.5;-3.851
01/06/2005;25948.8;2.457;1559.5;1202.27;8.657
02/06/2005;26639.8;2.416;1568.96;1204.29;4.453
03/06/2005;26365.6;24.255;1544.48;1196.02;29.522
06/06/2005;25556.3;24.505;1545.27;1197.51;52.925
07/06/2005;25026.1;24.565;1531.12;1197.26;-52.155
08/06/2005;24701.5;2.462;1527.68;1194.67;18.949
09/06/2005;24483.6;24.961;1539.46;1200.93;-22.156
10/06/2005;24950.9;24.733;1521.02;1198.11;-61.452
13/06/2005;24901.8;2.444;1529.13;1200.82;-6.071
14/06/2005;25744.2;24.343;1524.42;1203.91;1.997
15/06/2005;25481.4;24.233;1529.49;1206.58;27.646
16/06/2005;25750.5;24.051;1537.42;1210.96;-4.37
17/06/2005;26092.9;2.383;1538.13;1216.96;-9.293
20/06/2005;26045.5;2.389;1537.31;1216.1;16.401
21/06/2005;25721.7;2.371;1536.48;1213.61;-15.215
22/06/2005;25678.3;23.851;1534.36;1213.88;-8.069
23/06/2005;24815.6;24.047;1515.95;1200.73;2.594
24/06/2005;24916.9;2.379;1500.18;1191.57;20.77
27/06/2005;25225.8;23.751;1493.75;1190.69;-13.398
28/06/2005;25261.0;23.696;1508.61;1201.57;-13.279
29/06/2005;25126.4;23.525;1504.11;1199.85;-12.298
30/06/2005;25051.2;23.325;1493.52;1191.33;-7.677
01/07/2005;25311.4;23.565;1490.53;1194.44;-6.459
04/07/2005;25044.5;23.665;1490.53;1194.44;-3.258
05/07/2005;24674.8;23.773;1506.35;1204.99;-14.957
06/07/2005;24516.9;23.939;1498.05;1194.94;-16.23
07/07/2005;24449.5;23.773;1503.78;1197.87;-24.794
08/07/2005;24422.9;23.749;1533.27;1211.86;86.086
11/07/2005;25015.6;23.405;1547.66;1219.44;-27.036
12/07/2005;25536.3;23.395;1555.59;1222.21;-29.151
13/07/2005;25855.9;23.556;1557.62;1223.29;-31.381
14/07/2005;25919.9;2.336;1573.44;1226.5;-6.723
15/07/2005;25221.5;23.395;1577.82;1227.92;-11.513
18/07/2005;25321.1;23.352;1570.09;1221.13;25.374
19/07/2005;25270.6;2.343;1590.49;1229.35;15.381
20/07/2005;25704.8;23.394;1602.75;1235.2;-1.032
21/07/2005;25842.4;2.357;1601.89;1227.04;-20.441
22/07/2005;25391.2;23.963;1600.76;1233.68;-15.842
25/07/2005;24530.8;2.487;1593.57;1229.03;-29.167
26/07/2005;24868.5;2.431;1598.93;1231.16;-57.041
27/07/2005;25337.8;24.405;1611.95;1236.79;-52.351
28/07/2005;26068.4;24.081;1618.64;1243.72;-23.879
29/07/2005;26042.4;23.787;1605.14;1234.18;-29.07
01/08/2005;26298.1;23.693;1610.11;1235.35;-46.853
02/08/2005;26788.5;2.339;1627.01;1244.12;-41.12
03/08/2005;26714.1;23.115;1627.19;1245.05;-21.615
04/08/2005;26469.9;23.038;1608.74;1235.86;15.426
05/08/2005;26517.9;23.124;1601.59;1226.42;60.108
08/08/2005;26711.2;23.289;1589.97;1223.13;1.478
09/08/2005;27291.4;22.875;1601.14;1231.38;-5.628
10/08/2005;27116.9;22.783;1585.71;1229.13;-0.625
11/08/2005;26633.1;23.651;1600.65;1237.81;8.163
12/08/2005;26950.7;23.732;1591.75;1230.39;20.444
15/08/2005;27375.0;2.333;1600.71;1233.87;-90.183
16/08/2005;27080.1;2.347;1574.01;1219.34;-6.12
17/08/2005;27416.1;23.545;1582.29;1220.24;1.46
18/08/2005;26899.7;23.976;1575.76;1219.02;15.214
19/08/2005;26643.8;24.486;1573.72;1219.71;0.464
22/08/2005;27260.7;23.731;1575.59;1221.73;-11.419
23/08/2005;26769.3;24.005;1571.3;1217.57;2.08
24/08/2005;26712.4;24.528;1561.71;1209.59;-6.435
25/08/2005;27401.6;24.005;1565.88;1212.4;-5.168
26/08/2005;27094.6;24.025;1558.84;1205.1;-5.632
29/08/2005;27384.8;23.883;1571.52;1212.28;9.058
30/08/2005;27603.7;2.383;1565.73;1208.41;-6.756
31/08/2005;28044.8;2.357;1581.71;1220.33;50.654
01/09/2005;27962.2;23.561;1577.25;1221.59;4.416
02/09/2005;28319.1;23.305;1573.12;1218.02;176.978
05/09/2005;28522.0;23.341;1573.12;1218.02;24.659
06/09/2005;28854.9;2.324;1597.27;1233.39;14.712
08/09/2005;28828.1;2.319;1597.68;1231.67;27.676
09/09/2005;29307.9;2.309;1607.83;1241.48;8.314
12/09/2005;29086.5;23.189;1612.2;1240.56;11.496
13/09/2005;28873.3;2.333;1607.38;1231.2;9.638
14/09/2005;29050.0;23.205;1589.63;1227.16;43.328
15/09/2005;29366.2;23.005;1588.55;1227.73;43.192
16/09/2005;29815.8;22.988;1599.44;1237.91;55.23
19/09/2005;30076.0;2.294;1586.05;1231.02;101.763
20/09/2005;30059.0;2.297;1578.2;1221.35;53.177
21/09/2005;30837.3;2.275;1561.84;1210.2;35.643
22/09/2005;30678.4;22.748;1567.36;1214.62;56.349
23/09/2005;31294.1;22.645;1571.75;1215.29;-55.584
26/09/2005;31141.2;22.486;1572.86;1215.63;114.254
27/09/2005;30874.9;22.601;1568.84;1215.66;-19.975
28/09/2005;31317.2;22.272;1568.81;1216.89;-3.478
29/09/2005;31208.8;2.214;1589.93;1227.68;-80.508
30/09/2005;31583.8;22.275;1601.66;1228.81;61.828
03/10/2005;31856.1;22.365;1605.59;1226.7;106.325
04/10/2005;31283.8;22.625;1595.54;1214.47;134.477
05/10/2005;30163.5;22.678;1571.52;1196.39;38.0
06/10/2005;29227.4;22.905;1552.94;1191.49;16.388
07/10/2005;29973.0;22.499;1555.92;1195.9;-16.708
10/10/2005;30277.2;22.415;1546.99;1187.33;48.532
11/10/2005;30614.2;22.335;1539.31;1184.87;78.57
13/10/2005;29880.0;22.685;1533.8;1176.84;99.387
14/10/2005;29770.2;2.245;1544.29;1186.57;127.652
17/10/2005;30241.6;2.236;1549.88;1190.1;345.829
18/10/2005;29067.9;2.242;1538.43;1178.14;-1.252
19/10/2005;29297.1;22.383;1569.61;1195.76;-5.882
20/10/2005;28344.1;22.595;1555.59;1177.8;-107.103
21/10/2005;29175.8;2.265;1565.12;1179.59;-131.31
24/10/2005;29835.0;2.261;1590.65;1199.38;-62.036
25/10/2005;29498.0;22.635;1585.82;1196.54;14.015
26/10/2005;29730.0;22.868;1575.14;1191.38;-32.555
27/10/2005;29132.5;22.895;1543.38;1178.9;13.043
28/10/2005;29318.2;2.265;1557.11;1198.41;7.08
31/10/2005;30193.5;22.518;1579.18;1207.01;-40.172
01/11/2005;30899.7;2.243;1576.52;1202.76;28.091
03/11/2005;31100.0;2.222;1619.67;1219.94;-6.328
04/11/2005;30887.5;2.212;1628.03;1220.14;-17.983
07/11/2005;30952.2;22.065;1629.27;1222.81;-11.529
08/11/2005;30970.6;21.935;1628.4;1218.59;-7.47
09/11/2005;30666.1;21.755;1630.21;1220.65;8.832
10/11/2005;30724.6;21.635;1650.93;1230.96;-12.328
11/11/2005;30510.9;21.615;1653.36;1234.71;-5.209
14/11/2005;30218.9;2.209;1651.9;1233.76;5.112
16/11/2005;30482.1;22.015;1651.45;1231.21;23.426
17/11/2005;31087.0;21.945;1676.39;1242.8;-5.056
18/11/2005;31102.4;2.226;1679.85;1248.27;-14.283
21/11/2005;31110.1;2.22;1686.23;1254.85;-67.822
22/11/2005;31489.0;2.248;1694.14;1261.23;19.222
23/11/2005;31942.6;2.239;1696.77;1265.61;-3.499
24/11/2005;31944.7;22.405;1696.77;1265.61;10.399
25/11/2005;31919.7;2.234;1701.05;1268.25;-28.317
28/11/2005;31357.6;2.198;1684.39;1257.46;-4.799
29/11/2005;31651.6;21.873;1676.84;1257.48;-31.943
30/11/2005;31916.8;22.035;1672.56;1249.48;2.081
01/12/2005;32617.2;22.248;1704.28;1264.67;8.35
02/12/2005;32832.4;22.088;1709.1;1265.08;-25.667
05/12/2005;32701.2;21.952;1694.77;1262.09;-47.713
06/12/2005;33223.4;21.755;1701.35;1263.7;-142.004
07/12/2005;32756.8;21.945;1697.04;1257.37;-4.624
08/12/2005;32480.0;22.223;1685.59;1255.84;6.273
09/12/2005;32921.8;2.252;1692.62;1259.37;-15.119
12/12/2005;32970.6;2.261;1698.35;1260.43;25.827
13/12/2005;33419.6;22.615;1705.77;1267.43;-8.789
14/12/2005;33629.5;22.695;1698.98;1272.74;-5.281
15/12/2005;33193.3;23.085;1701.7;1270.94;-10.042
16/12/2005;33291.8;2.337;1688.68;1267.32;46.975
19/12/2005;33005.3;2.38;1664.36;1259.92;-0.055
20/12/2005;33066.5;23.475;1665.07;1259.62;-11.609
21/12/2005;33517.1;2.308;1670.61;1262.8;19.463
22/12/2005;33512.9;2.341;1683.35;1268.12;-13.645
23/12/2005;33331.3;2.315;1682.92;1268.66;-74.065
26/12/2005;33297.5;2.341;1682.92;1268.66;-69.522
27/12/2005;33370.7;2.337;1668.37;1256.54;-49.567
28/12/2005;33138.5;2.341;1667.1;1258.17;-40.295
29/12/2005;33455.9;23.258;1655.36;1254.42;17.041
30/12/2005;33455.9;23.355;1645.2;1248.29;-8.909
02/01/2006;33507.3;23.364;1645.2;1248.29;8.127
03/01/2006;34540.6;23.315;1679.93;1268.8;12.675
04/01/2006;35002.4;2.286;1695.83;1273.46;2.217
05/01/2006;34936.1;22.897;1705.29;1273.48;14.604
06/01/2006;35475.0;2.283;1734.99;1285.45;29.881
09/01/2006;35337.3;22.535;1741.9;1290.15;15.834
10/01/2006;35049.4;22.618;1744.02;1289.69;48.958
11/01/2006;35952.2;22.798;1758.24;1294.18;39.716
12/01/2006;35779.3;22.756;1747.35;1286.06;5.361
13/01/2006;35897.1;22.725;1746.78;1287.61;23.952
16/01/2006;36533.7;22.715;1746.78;1287.61;36.971
17/01/2006;36119.4;23.035;1736.39;1282.93;41.949
18/01/2006;35805.2;23.165;1716.62;1277.93;40.116
19/01/2006;36858.2;22.888;1729.92;1285.04;258.813
20/01/2006;36694.6;22.775;1676.38;1261.48;-31.96
23/01/2006;36631.8;2.257;1676.3;1263.83;39.098
24/01/2006;37399.7;2.241;1686.22;1266.86;1.262.011
25/01/2006;37399.7;22.428;1677.0;1264.68;5.367
26/01/2006;38014.4;2.229;1690.49;1273.83;225.341
27/01/2006;37822.2;2.21;1711.11;1283.72;48.125
30/01/2006;38242.0;22.125;1713.45;1285.2;-20.676
31/01/2006;38382.8;2.212;1710.75;1280.09;54.904
01/02/2006;38484.8;2.225;1713.02;1282.46;21.045
02/02/2006;37304.2;22.265;1685.77;1270.84;27.008
03/02/2006;37261.7;2.21;1664.53;1264.03;-13.38
06/02/2006;37321.2;21.755;1657.54;1265.02;-54.798
07/02/2006;36561.7;21.905;1651.84;1254.78;43.946
08/02/2006;36499.4;21.863;1670.47;1265.65;7.645
09/02/2006;36882.3;2.17;1654.08;1263.78;0.078
10/02/2006;36975.3;21.615;1663.75;1266.99;-14.847
13/02/2006;36113.9;21.545;1645.83;1262.86;24.462
14/02/2006;36626.9;2.138;1661.95;1275.53;-0.437
15/02/2006;37239.3;2.136;1673.15;1280.0;-2.148
16/02/2006;38256.4;2.116;1688.61;1289.38;24.258
17/02/2006;38421.8;21.175;1675.21;1287.24;39.421
20/02/2006;38539.2;21.175;1675.21;1287.24;52.817
21/02/2006;38166.0;2.166;1655.68;1283.03;27.808
22/02/2006;38246.4;2.141;1677.52;1292.67;48.673
23/02/2006;38405.5;21.335;1672.29;1287.79;44.602
24/02/2006;38610.4;2.14;1676.5;1289.43;24.144
01/03/2006;39177.9;21.155;1694.58;1291.24;-30.096
02/03/2006;39125.8;2.104;1693.78;1289.14;44.178
03/03/2006;39239.8;2.11;1684.32;1287.23;41.487
06/03/2006;38354.0;21.475;1669.94;1278.26;45.845
07/03/2006;37422.6;2.142;1661.02;1275.88;43.937
08/03/2006;37289.1;2.18;1660.35;1278.47;21.975
09/03/2006;36312.3;21.618;1645.09;1272.23;26.564
10/03/2006;36890.7;21.373;1648.23;1281.58;36.523
13/03/2006;36793.0;2.134;1653.79;1284.13;17.392
14/03/2006;37541.5;2.124;1681.15;1297.48;29.985
15/03/2006;38244.0;21.157;1694.46;1303.02;18.951
16/03/2006;38156.6;21.135;1679.05;1305.33;27.637
17/03/2006;38049.2;2.124;1685.66;1307.25;-3.412
20/03/2006;38203.5;2.147;1688.98;1305.08;24.954
21/03/2006;37398.0;2.171;1672.47;1297.23;5.102
22/03/2006;37850.6;21.539;1676.32;1305.04;0.188
23/03/2006;37473.9;21.615;1670.73;1301.67;-4.125
24/03/2006;37577.1;2.158;1679.81;1302.95;22.498
27/03/2006;37641.1;2.174;1680.63;1301.61;14.345
28/03/2006;36682.2;2.241;1673.03;1293.22;-47.464
29/03/2006;37491.6;22.142;1703.84;1302.89;-13.258
30/03/2006;37776.8;2.187;1708.68;1300.25;5.695
31/03/2006;37952.0;2.164;1703.66;1294.83;-8.145
03/04/2006;38717.1;21.407;1706.77;1297.81;14.309
04/04/2006;38802.3;21.404;1716.55;1305.94;12.481
05/04/2006;39053.2;21.378;1732.74;1311.56;12.225
06/04/2006;39285.0;2.133;1739.2;1309.04;3.138
07/04/2006;38926.5;2.149;1723.03;1295.5;12.045
10/04/2006;38474.7;2.155;1718.86;1296.61;-6.143
11/04/2006;37901.2;2.131;1704.4;1286.58;-2.724
12/04/2006;38427.4;21.364;1704.75;1288.13;32.597
13/04/2006;38082.1;2.138;1712.07;1289.12;20.672
17/04/2006;38462.5;21.374;1694.32;1285.33;15.905
18/04/2006;39572.5;21.155;1726.64;1307.65;3.102
19/04/2006;39937.7;21.147;1734.04;1309.93;24.646
20/04/2006;39774.6;2.12;1728.9;1311.46;-22.801
24/04/2006;39751.3;2.114;1706.44;1308.11;2.493
25/04/2006;39738.1;21.305;1701.47;1301.74;-6.074
26/04/2006;40410.1;2.119;1702.2;1305.41;15.07
27/04/2006;39751.4;21.015;1717.14;1309.72;-4.227
28/04/2006;40363.4;2.087;1700.71;1310.61;55.795
02/05/2006;41016.6;20.618;1689.93;1313.21;41.954
03/05/2006;40919.8;20.761;1686.3;1307.85;-45.708
04/05/2006;40975.8;20.703;1701.03;1312.25;15.253
05/05/2006;41417.3;20.555;1713.84;1325.76;70.696
08/05/2006;41515.5;2.074;1715.23;1324.66;89.817
09/05/2006;41979.3;2.059;1711.17;1325.14;23.858
10/05/2006;41751.5;20.743;1694.82;1322.85;42.407
11/05/2006;40847.1;20.981;1657.48;1305.92;57.417
12/05/2006;40212.0;21.445;1635.81;1291.24;29.028
15/05/2006;39271.4;21.665;1634.78;1294.5;22.778
16/05/2006;39416.4;2.136;1623.69;1292.08;42.359
17/05/2006;38290.7;22.095;1598.91;1270.32;76.312
18/05/2006;37807.1;21.805;1587.11;1261.81;97.913
19/05/2006;37732.9;2.209;1600.86;1267.03;103.256
22/05/2006;36496.9;2.298;1584.57;1262.07;89.891
23/05/2006;36110.0;23.525;1569.01;1256.58;-50.238
24/05/2006;35792.0;23.275;1580.18;1258.57;117.419
25/05/2006;37568.7;2.278;1599.68;1272.88;63.834
26/05/2006;38629.7;22.415;1606.37;1280.16;77.442
29/05/2006;38145.1;2.293;1606.37;1280.16;44.153
30/05/2006;36412.5;23.125;1571.29;1259.84;19.434
31/05/2006;36530.0;2.307;1579.58;1270.09;58.941
01/06/2006;37748.3;22.451;1616.57;1285.71;40.185
02/06/2006;37942.2;22.766;1612.9;1288.22;15.93
05/06/2006;36739.9;22.645;1577.5;1265.29;54.991
06/06/2006;36557.8;2.242;1575.39;1263.85;2.532
07/06/2006;35264.0;22.545;1565.22;1256.15;-18.451
08/06/2006;35437.8;22.585;1561.55;1257.93;-15.174
09/06/2006;35074.6;22.592;1550.97;1252.3;-22.337
12/06/2006;33554.5;2.289;1520.31;1236.4;8.832
13/06/2006;32847.6;23.096;1516.85;1223.69;51.982
14/06/2006;32941.5;2.281;1530.26;1230.04;-34.424
16/06/2006;34398.9;2.245;1562.84;1251.54;-13.239
19/06/2006;33897.4;22.603;1548.94;1240.14;51.43
20/06/2006;33632.1;22.355;1548.32;1240.12;66.562
21/06/2006;34546.6;22.268;1573.56;1252.21;-14.078
22/06/2006;34316.8;2.239;1554.49;1245.6;6.399
23/06/2006;34661.2;22.315;1551.05;1244.5;-11.434
26/06/2006;34631.2;2.241;1556.17;1250.56;-21.953
27/06/2006;34375.7;22.405;1527.0;1239.2;-12.642
28/06/2006;34834.6;2.22;1538.25;1246.0;-85.197
29/06/2006;36486.7;21.775;1585.56;1272.87;13.807
30/06/2006;36630.7;2.165;1575.23;1270.2;36.267
03/07/2006;37357.2;21.685;1586.25;1280.19;47.496
04/07/2006;37367.3;2.17;1586.25;1280.19;6.589
05/07/2006;36378.0;2.208;1553.95;1270.91;14.582
06/07/2006;36533.1;2.177;1551.55;1274.08;-15.553
07/07/2006;36102.0;2.182;1533.71;1265.48;10.939
10/07/2006;36140.6;21.789;1520.9;1267.34;-6.323
11/07/2006;36553.6;2.183;1533.06;1272.52;-17.577
12/07/2006;36229.7;22.025;1501.46;1258.6;-24.397
13/07/2006;35354.3;22.244;1478.16;1242.29;20.386
14/07/2006;35349.7;2.212;1462.17;1236.2;-1.564
17/07/2006;34866.3;22.016;1468.5;1234.49;1.644
18/07/2006;35130.4;2.191;1472.34;1236.86;-12.205
19/07/2006;36785.4;21.765;1490.6;1259.81;53.039
20/07/2006;35846.8;21.911;1466.89;1249.13;18.018
21/07/2006;35510.4;21.988;1451.88;1240.29;34.954
24/07/2006;36224.4;21.896;1482.34;1260.91;4.383
25/07/2006;36680.8;22.005;1489.52;1268.88;-18.539
26/07/2006;36594.3;2.195;1487.88;1268.4;1.687
27/07/2006;36887.7;21.922;1478.53;1263.2;5.516
28/07/2006;37381.1;21.754;1510.3;1278.55;32.624
31/07/2006;37077.1;2.177;1509.43;1276.66;-18.175
01/08/2006;36839.3;2.191;1484.94;1270.92;-1.203
02/08/2006;37288.4;21.821;1500.48;1278.55;7.211
03/08/2006;37451.2;2.176;1510.6;1280.27;20.842
04/08/2006;37847.9;21.814;1503.84;1279.36;14.265
07/08/2006;37697.6;21.851;1494.13;1275.77;-18.164
08/08/2006;37600.4;21.714;1484.8;1271.48;-27.575
09/08/2006;37255.1;21.663;1485.64;1265.95;59.516
10/08/2006;37353.8;21.565;1496.28;1271.81;32.226
11/08/2006;36944.4;2.166;1486.74;1266.74;43.673
14/08/2006;36556.9;21.635;1494.33;1268.21;6.497
15/08/2006;37295.9;21.434;1534.43;1285.58;17.144
16/08/2006;37677.8;21.409;1570.06;1295.43;28.489
17/08/2006;37558.9;21.415;1573.59;1297.48;32.852
18/08/2006;37551.7;21.469;1576.46;1302.3;20.816
21/08/2006;37160.6;21.286;1561.12;1297.52;127.349
22/08/2006;36677.5;21.341;1563.43;1298.82;16.853
23/08/2006;35512.1;21.515;1550.41;1292.99;-3.178
24/08/2006;35797.3;21.526;1555.19;1296.06;12.866
25/08/2006;35957.5;2.156;1557.7;1295.09;9.009
28/08/2006;36374.5;21.404;1570.29;1301.79;0.788
29/08/2006;36303.7;21.369;1573.65;1304.28;-8.416
30/08/2006;36313.4;21.365;1581.95;1304.27;20.575
31/08/2006;36232.2;2.145;1579.73;1303.82;33.694
01/09/2006;37329.1;2.139;1589.47;1311.01;472.92
04/09/2006;37693.4;2.123;1589.47;1311.01;8.105
05/09/2006;37368.0;21.386;1603.69;1313.25;-11.201
06/09/2006;36709.9;2.15;1572.2;1300.26;36.908
08/09/2006;36558.5;2.158;1574.71;1298.92;29.92
11/09/2006;35772.5;21.854;1583.78;1299.54;36.627
12/09/2006;36146.7;21.683;1615.75;1313.11;-6.588
13/09/2006;36549.7;21.602;1623.99;1318.07;14.329
14/09/2006;36153.6;2.16;1625.98;1316.28;7.16
15/09/2006;36169.9;2.151;1632.44;1319.87;7.258
18/09/2006;36482.8;21.467;1632.17;1321.18;55.355
19/09/2006;35885.7;21.591;1621.07;1318.31;19.525
20/09/2006;35196.6;21.759;1645.35;1325.18;22.926
21/09/2006;34830.1;2.212;1634.87;1318.03;6.456
22/09/2006;34798.8;22.075;1622.37;1314.78;-5.504
25/09/2006;34972.7;22.203;1650.37;1326.37;-43.376
26/09/2006;35819.0;21.871;1659.2;1336.34;-29.988
27/09/2006;36105.6;21.862;1655.67;1336.59;14.31
28/09/2006;36486.2;2.17;1661.59;1339.15;27.772
29/09/2006;36449.4;2.169;1654.13;1335.85;-20.477
02/10/2006;37057.8;21.565;1632.81;1331.32;55.24
03/10/2006;36437.6;21.754;1640.29;1334.11;13.447
04/10/2006;37749.3;21.639;1681.14;1350.22;-52.528
05/10/2006;37976.9;21.635;1689.43;1353.22;-41.374
06/10/2006;37940.4;2.162;1684.88;1349.58;165.795
09/10/2006;38406.4;21.552;1691.08;1350.66;129.824
10/10/2006;38654.7;21.553;1693.29;1353.42;-36.827
11/10/2006;38322.2;2.159;1691.28;1349.95;-102.587
13/10/2006;38850.2;21.371;1727.21;1365.62;3.511
16/10/2006;39229.1;21.294;1727.61;1369.06;-3.548
17/10/2006;38897.5;21.315;1709.61;1364.05;16.167
18/10/2006;38686.0;21.371;1700.75;1365.96;-4.124
19/10/2006;38919.8;21.409;1706.37;1366.96;4.004
20/10/2006;38642.8;21.402;1709.58;1368.6;9.491
23/10/2006;39226.8;21.392;1725.93;1377.02;-13.861
24/10/2006;39499.0;21.502;1713.88;1377.38;4.983
25/10/2006;39562.6;21.442;1726.76;1382.23;-11.667
26/10/2006;39644.8;21.402;1744.07;1389.09;46.595
27/10/2006;39328.5;21.336;1717.61;1377.34;74.902
